Event ID, Timestamp(s), Real time(h:m:s)
Base line start,0,10:32:58
Base line ended,60.4114,10:33:58
click button,65.65549,10:34:03
click button,67.46721,10:34:05
click button,68.87777,10:34:06
click button,69.28874,10:34:07
click button,71.3664,10:34:09
click button,72.13274,10:34:10
click button,72.76577,10:34:10
shoot,74.71127,10:34:12
shoot,75.38934,10:34:13
shoot,78.91155,10:34:16
shoot,79.47813,10:34:17
shoot,79.92268,10:34:17
shoot,80.34476,10:34:18
shoot,80.65614,10:34:18
shoot,80.94513,10:34:18
shoot,154.7336,10:35:32
shoot,155.4114,10:35:33
shoot,155.8896,10:35:33
shoot,156.4801,10:35:34
shoot,156.8788,10:35:34
click button,157.901,10:35:35
shoot,159.079,10:35:37
shoot,159.5903,10:35:37
shoot,160.5014,10:35:38
shoot,162.2121,10:35:40
click wall button,167.8299,10:35:45
click wall button,168.0996,10:35:46
click wall button,174.7239,10:35:52
click wall button,176.79,10:35:54
